Школа № 1413;127543, ул. Белозерская, д. 15
Школа № 1415;129515, ул. 1-я Останкинская, д. 29
Школа № 1416;127576, ул. Новгородская, д. 8
Школа № 1420;109444, ул. Ташкентская, д. 21, к. 2 и д. 18
Школа № 1420 (профессиональная);109193, ул. Кожуховская 5-я, д. 1/11
Школа имени Маршала В. И. Чуйкова;Васильцовский стан, д. 4.
Школа № 1440 (ГБОУ);121609, Москва, Осенний бульвар, д. 10, к. 3
Шуваловская школа № 1448;Мичуринский проспект, д. 5, корп. 1
Школа № 1450 «Олимп»;117556, ул. Фруктовая д.9
Школа № 1454;125422, ул. Тимирязевская, д. 14а
Школа № 1474 (САО);Клинская ул., 22
Школа № 1466 имени Надежды Рушевой (ГБОУ);115304, ул. Ереванская, д. 20, к. 2
Школа № 1467;ул. Шолохова, д. 9, индекс 119634
Школа № 1468;109147, г. Москва, Брошевский пер., д. 21
Образовательный центр «Протон» (Школа № 1497 (ЦО));121309, ул. Барклая, д. 15, к. 3
Школа № 1498;117607, Мичуринский пр-т, д. 23
Пушкинская школа № 1500;Милютинский переулок, д. 18, стр. 2
Школа № 1501;Тихвинский пер., д. 3
Школа № 1502 при Московском энергетическом институте;111555, ул. Молостовых, д. 10А
Школа № 1503;129626, ул. Павла Корчагина, д. 18
Школа № 1504;111555, ул. Сталеваров, д. 10а
Школа № 1505 «Преображенская» (ГБОУ);107061, 2-я Пугачёвская улица, д. 6а
Школа № 1506;127282, ул. Широкая, д. 1а
Школа № 1507;117321, ул. Профсоюзная, д. 132, корп. 9
Измайловская школа № 1508;105043, Первомайская ул., д. 65
Лицей № 1511 НИЯУ МИФИ— Пролетарский проспект, д. 6, к. 3.
Школа № 1512;111538, Косинская ул., д. 24а
Школа № 1514;ул. Крупской, д. 12
Школа № 1515;123154, ул. Народного Ополчения, д. 27, к. 2
Школа № 1516;107589, ул. Хабаровская, д. 4а,
Школа № 1517;Живописная ул., д. 11, к. 1
Школа № 1518;129085, проспект Мира, д. 87
Школа № 1519;123181, ул. Маршала Катукова, д. 21, корп. 2
Школа № 1520 имени Капцовых;125009, Леонтьевский переулок, д. 19/2, строение 1
Школа № 1522 имени В. И. Чуркина;123423, ул. Народного ополчения, д. 16, корп. 4
Университетский лицей № 1523;Кленовый бульвар, д. 21
Школа № 1524;109548, ул. Гурьянова, д. 6, корп. 2
Школа № 1526 на Покровской;117535, ул. Дорожная, д. 20а
Школа № 1527;115470, проспект Андропова, д. 17, к. 5
Школа № 1528 имени Героя Советского Союза И. В. Панфилова;124527, город Зеленоград, корпус 817
Школа № 1529 имени А. С. Грибоедова;119034, 2-й Обыденский переулок, д. 9
Школа № 1530 «Школа Ломоносова»;107014, Егерская ул., д. 4
Школа № 1531 имени С. К. Годовикова;129085, ул. Годовикова, д. 4, строение 3
Школа № 1532;117465, ул. Тёплый Стан, д. 13, корп. 3
Школа № 1533 «ЛИТ»;119296, Ломоносовский проспект, д. 16
Школа № 1534;117036, ул. Кедрова, д. 11
Школа № 1535;119048, ул. Усачёва, д. 50
Школа № 1537;129347, ул. Проходчиков, д. 9
Школа № 1538;125464, Новотушинский проезд, д. 8, корп. 2
Школа № 1539;129626, Староалексеевская улица, д. 1
Школа № 1540;127055, ул. Новослободская, д. 57, строение 1
Школа № 1541;119415, проспект Вернадского, д. 55
